Testart,Browser,Ladezeit (ms),CPU-Nutzung (%),Ramverbrauch (MB),Anfragen,Durchschnittliche Latenz (ms),GPU nach dem Laden der Seite: Temperatur,GPU nach dem Laden der Seite: %-Nutzung,GPU nach Tiles loaded: Temperatur,GPU nach Tiles loaded: %-Nutzung
Normal,chrome,595,15.00,44.96,24,58.99,43, 7 %,42, 15 %
Normal,chrome,663,25.00,41.50,16,52.71,42, 6 %,41, 5 %
Normal,chrome,603,1.00,33.72,11,48.69,43, 6 %,41, 6 %
Durchschnitt Normalfall,chrome,620.33,13.67,40.06,17.00,53.46,144747.67,NaN,141380.33,NaN
Stresstest,chrome,1858,6.00,280.07,27,36.34,41, 16 %,41, 35 %
Stresstest,chrome,1754,17.00,272.02,27,34.18,43, 11 %,41, 30 %
Stresstest,chrome,1780,22.00,277.64,27,36.65,41, 13 %,41, 32 %
Durchschnitt Stresstest,chrome,1797.33,15.00,276.58,27.00,35.72,138113.67,NaN,138047.00,NaN
Normal,MicrosoftEdge,710,-5.00,39.67,11,77.16,42, 5 %,41, 5 %
Normal,MicrosoftEdge,678,-11.00,49.93,24,70.23,42, 7 %,41, 6 %
Normal,MicrosoftEdge,727,-20.00,50.16,11,79.36,43, 5 %,42, 6 %
Durchschnitt Normalfall,MicrosoftEdge,705.00,-12.00,46.59,15.33,75.59,141414.33,NaN,138047.33,NaN
Stresstest,MicrosoftEdge,1855,39.00,268.40,27,51.19,41, 11 %,41, 37 %
Stresstest,MicrosoftEdge,1852,64.00,266.88,27,49.23,43, 11 %,41, 29 %
Stresstest,MicrosoftEdge,1860,50.00,267.68,27,45.84,43, 11 %,41, 35 %
Durchschnitt Stresstest,MicrosoftEdge,1855.67,51.00,267.65,27.00,48.75,138114.33,NaN,138047.00,NaN
